WKT,code,type,subtype,width,length,gap,id_2022,id_2020,id_1987,enabled,area,perimeter,get_shape,img,start_poin,end_point,road
"POLYGON((35.4955043036025 20.1594290827807,55.6075098968577 20.1594264185978,55.6075098835863 20.0588663573268,55.487805417506 20.0588663735802,54.076949846698 20.0588665651447,52.6660943413153 20.0588667567093,51.2552389015909 20.0588669482738,49.8443835275248 20.0588671398383,48.4335282186512 20.0588673314028,47.0226729756687 20.0588675229673,45.6118177983444 20.0588677145318,44.2009626866784 20.0588679060962,42.7901076399721 20.0588680976607,41.3792526589241 20.0588682892251,39.9683977442328 20.0588684807895,38.3910140732769 20.058868694965,35.4955042896327 20.0588690881143,35.4955043036025 20.1594290827807))",aux_____57,aux,,,,,,,,"0",2.000000000000000,40.200000000000003,"0",,,,
"POLYGON((54.3946054449771 13.1801534830261,54.3602118457202 13.0856579518467,35.461110732751 19.964373607957,35.4955042896327 20.0588690881143,38.2163933082484 19.0685460060327,39.6986489973497 18.5290487580307,41.0244188432116 18.0465077053252,42.3501887386665 17.5639666104835,43.6759586848784 17.0814254735055,45.001728681149 16.5988842943913,46.3274987272453 16.1163430731409,47.6532688240986 15.6338018097542,48.9790389710106 15.1512605042312,50.304809168214 14.668719156572,51.6305794154759 14.1861777667765,52.9563497130293 13.7036363348448,54.2821200604085 13.2210948607768,54.3946054449771 13.1801534830261))",aux_____58,aux,,,,,,,,"0",2.000000000000000,40.200000000000003,"0",,,,
"POLYGON((38.2163933082484 19.0685460060327,35.4955042896327 20.0588690881143,38.3910140732769 20.058868694965,38.3037036946043 19.5637073490751,38.2163933082484 19.0685460060327))",aux_____59,aux,,,,,,,,"0",1.417820000000000,6.759000000000000,"0",,,,
"POLYGON((41.0244188432116 18.0465077053252,39.6986489973497 18.5290487580307,38.3037036946043 19.5637073490751,39.9683977442328 20.0588684807895,41.3792526589241 20.0588682892251,39.1894752481021 19.4075217842227,41.0244188432116 18.0465077053252))",cebreado-divergente_20deg__0.4_1_60,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",1.599591000000000,10.804000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((39.1894752481021 19.4075217842227,41.3792526589241 20.0588682892251,42.7901076399721 20.0588680976607,40.0752468262799 19.2513362102583,42.3501887386665 17.5639666104835,42.3501887386665 17.5639666104835,41.0244188432116 18.0465077053252,39.1894752481021 19.4075217842227))",cebreado-divergente_20deg__0.4_1_61,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",2.035406000000000,12.983000000000001,"1",catalog/M7_2b.png,,,
"POLYGON((43.6759586848784 17.0814254735055,42.3501887386665 17.5639666104835,40.0752468262799 19.2513362102583,42.7901076399721 20.0588680976607,44.2009626866784 20.0588679060962,40.9610184303019 19.0951506271818,43.6759586848784 17.0814254735055))",cebreado-divergente_20deg__0.4_1_62,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",2.471221000000000,15.162000000000001,"1",catalog/M7_2b.png,,,
"POLYGON((45.001728681149 16.5988842943913,43.6759586848784 17.0814254735055,40.9610184303019 19.0951506271818,44.2009626866784 20.0588679060962,45.6118177983444 20.0588677145318,41.8467900583055 18.9389650349932,45.001728681149 16.5988842943913))",cebreado-divergente_20deg__0.4_1_63,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",2.907036000000000,17.341000000000001,"1",catalog/M7_2b.png,,,
"POLYGON((46.3274987272453 16.1163430731409,45.001728681149 16.5988842943913,41.8467900583055 18.9389650349932,45.6118177983444 20.0588677145318,47.0226729756687 20.0588675229673,42.7325617114548 18.7827794336927,46.3274987272453 16.1163430731409))",cebreado-divergente_20deg__0.4_1_64,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",3.342851000000000,19.520000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((47.6532688240986 15.6338018097542,46.3274987272453 16.1163430731409,42.7325617114548 18.7827794336927,47.0226729756687 20.0588675229673,48.4335282186512 20.0588673314028,43.6183333902154 18.62659382328,47.6532688240986 15.6338018097542))",cebreado-divergente_20deg__0.4_1_65,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",3.778666000000000,21.699000000000002,"1",catalog/M7_2b.png,,,
"POLYGON((48.9790389710106 15.1512605042312,47.6532688240986 15.6338018097542,43.6183333902154 18.62659382328,48.4335282186512 20.0588673314028,49.8443835275248 20.0588671398383,44.5041050936561 18.4704082037553,48.9790389710106 15.1512605042312))",cebreado-divergente_20deg__0.4_1_66,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",4.214481000000000,23.878000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((50.304809168214 14.668719156572,48.9790389710106 15.1512605042312,44.5041050936561 18.4704082037553,49.8443835275248 20.0588671398383,51.2552389015909 20.0588669482738,45.3898768224753 18.3142225751186,50.304809168214 14.668719156572))",cebreado-divergente_20deg__0.4_1_67,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",4.650296000000000,26.056999999999999,"1",catalog/M7_2b.png,,,
"POLYGON((51.6305794154759 14.1861777667765,50.304809168214 14.668719156572,45.3898768224753 18.3142225751186,51.2552389015909 20.0588669482738,52.6660943413153 20.0588667567093,46.2756485759746 18.1580369373698,51.6305794154759 14.1861777667765))",cebreado-divergente_20deg__0.4_1_68,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",5.086111000000000,28.236999999999998,"1",catalog/M7_2b.png,,,
"POLYGON((52.9563497130293 13.7036363348448,51.6305794154759 14.1861777667765,46.2756485759746 18.1580369373698,52.6660943413153 20.0588667567093,54.076949846698 20.0588665651447,47.1614203548525 18.001851290509,52.9563497130293 13.7036363348448))",cebreado-divergente_20deg__0.4_1_69,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",5.521927000000000,30.416000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((54.2821200604085 13.2210948607768,52.9563497130293 13.7036363348448,47.1614203548525 18.001851290509,54.076949846698 20.0588665651447,55.487805417506 20.0588663735802,48.047192158876 17.8456656345361,54.2821200604085 13.2210948607768))",cebreado-divergente_20deg__0.4_1_70,cebreado-divergente,20deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",5.957742000000000,32.594999999999999,"1",catalog/M7_2b.png,,,
"POLYGON((35.495502211852 12.2151895041327,55.6075078051072 12.2151815781887,55.607507765526 12.1146215169177,55.3686621200759 12.1146216118354,54.4692256094422 12.1146219692732,53.5697891253512 12.114622326711,52.6703526673373 12.1146226841488,51.7709162363317 12.1146230415866,50.8714798323344 12.1146233990243,49.9720434544142 12.1146237564621,49.0726071032695 12.1146241138998,48.1731707786676 12.1146244713375,47.2737344813067 12.1146248287752,46.374298210023 12.1146251862128,45.4748619655147 12.1146255436505,44.5754257480148 12.1146259010881,43.675989556592 12.1146262585257,42.7765533919446 12.1146266159633,41.8771172540728 12.1146269734009,40.9776811429765 12.1146273308385,40.0782450584229 12.114627688276,39.178809000412 12.1146280457135,38.2793729689438 12.114628403151,37.4381721529644 12.1146287374458,35.4955021718051 12.1146295094663,35.495502211852 12.2151895041327))",aux_____71,aux,,,,,,,,"0",2.000000000000000,40.200000000000003,"0",,,,
